"name","title","dataset_completion_date","georesource_report_type","resource_authority_permit"
"cr049948","EPM 14805, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2008","2008-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14805""]"
"cr049949","EPM 14806, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 10/1/2008","2008-01-10T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14806""]"
"cr051366","EPM 9221, HERO CONSOLIDATED, ANNUAL REPORT FOR PERIOD ENDING 23/2/2008","2008-02-23T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 9221""]"
"cr051370","EPM 9918, PAROO RANGE, ANNUAL REPORT FOR PERIOD ENDING 14/2/2008","2008-02-14T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 9918""]"
"cr052287","EPM 14803, JULIA CREEK VANADIUM AND MOLYBENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 12/6/2008","2008-06-12T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14803""]"
"cr053413","EPM 15325, WYNBERG 1, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 31/7/2007 TO 30/7/2008","2008-10-01T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15325""]"
"cr053491","EPM 16200, WYNBERG 6, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 31/8/2007 TO 30/8/2008","2008-08-29T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 16200""]"
"cr053508","EPM 16113, TOOLEBUC JOINT VENTURE, ANNUAL REPORT FOR PERIOD 24/8/2007 TO 23/8/2008","2008-08-23T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 16113""]"
"cr053735","EPM 15537, GIDYA CREEK, ANNUAL REPORT FOR PERIOD ENDING 12/6/2008","2008-10-28T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 15537""]"
"cr054387","EPM 14802, JULIA CREEK VANADIUM AND MOLYBDENUM PROJECT, ANNUAL REPORT FOR PERIOD ENDING 13/12/2008","2008-12-13T00:00:00Z","http://linked.data.gov.au/def/georesource-report/permit-report-annual","[""EPM 14802""]"
